address,current_zone,current_potential_units,distance_to_station_ft,ballot_zone,ballot_potential_units,additional_units
1409 E BRUCE RANDOLPH AVE,U-MS-3,13.0,2256.693748458871,U-MS-3,13,0.0
3326 N MARION ST,U-RH-2.5,16.0,1918.1722321707273,U-RH-2.5,16,0.0
3415 LAWRENCE ST,G-RH-3,12.0,1687.725567829973,G-RH-3,12,0.0
3459 LAWRENCE ST,G-RH-3,12.0,1487.8593733658806,G-RH-3,12,0.0
3440 LAWRENCE ST,G-RH-3,9.0,1685.6376563597287,G-RH-3,9,0.0
3430 LAWRENCE ST,G-RH-3,9.0,1740.9937426306476,G-RH-3,9,0.0
3418 LAWRENCE ST,G-RH-3,9.0,1769.2142569745747,G-RH-3,9,0.0
3417 ARAPAHOE ST,G-MU-3,6.0,1880.9691177336852,G-MU-3,6,0.0
3432 N DOWNING ST,C-MS-5,10.0,1920.2290152491855,C-MS-5,10,0.0
1239 E BRUCE RANDOLPH AVE,U-MX-3,6.0,2091.1178723262615,U-MX-3,6,0.0
3321 CURTIS ST,U-RH-2.5,10.0,1759.7839755739603,U-RH-2.5,10,0.0
3325 CURTIS ST,U-RH-2.5,16.0,1776.3898497213565,U-RH-2.5,16,0.0
3333 CURTIS ST,U-RH-2.5,26.0,1801.6575437849137,U-RH-2.5,26,0.0
3211 LAWRENCE ST,G-RH-3,12.0,2101.5218215973196,G-RH-3,12,0.0
3217 LAWRENCE ST,G-RH-3,6.0,2132.5942248797423,G-RH-3,6,0.0
3220 CURTIS ST,U-RH-2.5,12.0,1306.0410268994347,U-RH-2.5,12,0.0
3126 N DOWNING ST,C-MS-5,10.0,959.1283339813322,C-MS-5,10,0.0
3222 CHAMPA ST,U-RH-2.5,31.0,1029.5031691135478,U-RH-2.5,31,0.0
3118 STOUT ST,U-RH-2.5,12.0,464.64958153300154,C-MX-8x,20,8.0
3112 STOUT ST,U-RH-2.5,13.0,442.7363004137311,C-MX-8x,21,8.0
3105 CALIFORNIA ST,U-RH-2.5,21.0,310.73638910591694,C-MX-8x,33,12.0
3137 CALIFORNIA ST,C-MX-3,5.0,415.2483828793352,C-MX-8x,14,9.0
3154 CHAMPA ST,U-RH-2.5,10.0,868.9186756796047,U-RH-2.5,10,0.0
3138 CHAMPA ST,U-RH-2.5,10.0,827.2006368609917,U-RH-2.5,10,0.0
3136 LARIMER ST,I-MX-3,12.0,2170.3718025084913,I-MX-3,12,0.0
3101 LAWRENCE ST,G-RH-3,9.0,2013.0349353895228,G-RH-3,9,0.0
3111 LAWRENCE ST,G-RH-3,9.0,2014.864200341967,G-RH-3,9,0.0
2932 WELTON ST,C-MX-5,10.0,672.020322718977,C-MX-5,10,0.0
2930 WELTON ST,C-MX-5,10.0,696.4439628238625,C-MX-5,10,0.0
2917 GLENARM PL,U-RH-2.5,16.0,797.4651418487988,U-RH-2.5,16,0.0
2922 GLENARM PL,U-RH-2.5,10.0,882.3718943541594,U-RH-2.5,10,0.0
2720 N DOWNING ST,G-RX-5,10.0,877.4543359390676,G-RX-5,10,0.0
2618 N DOWNING ST,G-RX-5,16.0,1165.6175866486308,G-RX-5,16,0.0
2758 WELTON ST,C-MX-5,21.0,139.12215229682838,C-MX-8x,34,13.0
3742 N BRIGHTON BLVD,I-MX-12,25.0,804.1757477735849,I-MX-12,25,0.0
3739 WYNKOOP ST,I-MX-12,25.0,661.0644425050311,I-MX-12,25,0.0
3741 WYNKOOP ST,I-MX-12,25.0,665.1579351541133,I-MX-12,25,0.0
3756 DELGANY ST,I-MX-8,33.0,1162.1387699706984,I-MX-8,33,0.0
3754 DELGANY ST,I-MX-8,17.0,1157.6405557422445,I-MX-8,17,0.0
3738 DELGANY ST,I-MX-8,25.0,1143.9485363990934,I-MX-8,25,0.0
3708 DELGANY ST,I-MX-8,16.0,1142.1149727853158,I-MX-8,16,0.0
3624 DELGANY ST,I-MX-8,33.0,1187.1479056440828,I-MX-8,33,0.0
3636 DELGANY ST,I-MX-8,33.0,1174.314552322429,I-MX-8,33,0.0
3611 CHESTNUT PL,C-MX-8,108.0,1722.8402687617604,C-MX-8,108,0.0
3517 DELGANY ST,I-MX-8,17.0,1609.5255508035216,I-MX-8,17,0.0
3535 WYNKOOP ST,C-MX-12,42.0,1007.7305867308293,C-MX-12,42,0.0
3729 N MARION ST,C-MX-5,16.0,701.3781560999838,C-MX-5,16,0.0
3735 N MARION ST,C-MX-5,16.0,668.3827127199689,C-MX-5,16,0.0
3139 LARIMER ST,I-MX-3,13.0,2373.7129795006467,I-MX-3,13,0.0
3047 WELTON ST,C-MX-5,13.0,81.72300889644657,C-MX-8x,20,7.0
3048 CALIFORNIA ST,U-RH-2.5,14.0,94.37129566968433,C-MX-8x,23,9.0
3025 WELTON ST,C-MX-5,32.0,200.44506487002764,C-MX-8x,51,19.0
3054 CHAMPA ST,U-RH-2.5,0.0,782.3576390423013,U-RH-2.5,0,0.0
3029 LAWRENCE ST,G-RH-3,9.0,2020.0103642783565,G-RH-3,9,0.0
3039 LAWRENCE ST,G-RH-3,16.0,2015.153669556479,G-RH-3,16,0.0
3051 LAWRENCE ST,G-RH-3,19.0,2011.2283342916103,G-RH-3,19,0.0
2917 LAWRENCE ST,G-MU-3,13.0,2139.1015720719315,G-MU-3,13,0.0
2956 CHAMPA ST,U-RH-2.5,10.0,919.278780074874,U-RH-2.5,10,0.0
